"%s was successfully added to your shopping cart.","%s fue añadido exitosamente a su carrito de compra."
"Manage Checkout Terms and Conditions","Gestione Condiciones y Términos de Pago"
"Maximum display Recently added item(s)","Máximo Desplegado de Artículo(s) añadido(s) recientemente"
"Maximum qty allowed for Shipping to multiple addresses is %s","La cantidad máxima de envíos para múltiples direcciones es  %s"
"Move to wishlist","Mover a Favoritos"
"Please enter your email below and we will send you a new password.","Por favor, ingrese su email y te enviaremos su nueva contraseña."
"My Account","Mi Cuenta"
"Account","Mi Cuenta"
"Log out","Cerrar sesión"
"My Cart","Mi Carrito"
"My Cart (%s item)","Mi carrito (%s artículos)"
"My Cart (%s items)","Mi carrito (%s artículos)"
"My Cart Link","Enlace a mi carrito"
"New Address","Nuevas direcciones"
"New Condition","Condición Nueva"
"Order #","Pedido #"
"Order Review","Resumen de compra"
"Order Success","Éxito del pedido"
"Other items in your order","Otros artículos en su pedido"
"Password","Contraseña"
"Payment Failed Email Reciever","Email del receptor para pagos fallidos"
"Payment Failed Email Sender","Email del remitente para pagos fallidos"
"Payment Failed Emails","Emails para pagos fallidos"
"Payment Failed Template","Plantilla de pagos fallidos"
"Payment Information","Método de Pago"
"Payment Method","Método de pago"
"Payment method is not defined","El método de pago no está definido"
"Place Order","Confirmar pedido"
"Please <a href=""%s"">continue shopping</a>.","Por favor <a href=""%s"">continuar comprando</a>."
"Please agree to all Terms and Conditions before placing the order.","Favor de aceptar todas las condiciones y terminos de pago antes de poner su pedido."
"Please agree to all Terms and Conditions before placing the orders.","Favor de aceptar todas las condiciones y terminos de pago antes de poner sus pedidos."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor ingrese un código postal válido. Por ejemplo 55000 o 90602-1234."
"Please log in below:","Por favor inicie sesión debajo:"
"Please select region, state or province","Por favor seleccione la región, estado o provincia"
"Please select shipping address for applicable items","Favor de seleccionar la dirección de envío para artículos aplicables"
"Please select shipping methods for all addresses","Por favor seleccione métodos de envío para todas las direcciones"
"Price","Precio unitario"
"Proceed to Checkout","Finalizar Pedido"
"Product","Producto"
"Product Name","Producto"
"Product does not exist","El producto no existe"
"Qty","Cantidad"
"Quote Lifetime (days)","Cotizar duración (días)"
"Recently added item(s)","Artículo(s) recientemente añandido(s)"
"Register","Registrarme"
"Register and save time!","Regístrate y ahorrá tiempo!"
"Register to Create an Account","Registrate para crear una cuenta"
"Register with us for future convenience:","Regístrate para una mejor experiencia:"
"Remove","Quitar"
"Remove Item","Quitar Artículos"
"Remove Product","Quitar producto"
"Remove item","Eliminar Artículo"
"Review Order","Revisar pedido"
"Review Order - %s","Revisar pedido - %s"
"Sales","Ventas"
"Save Condition","Guardar Condición"
"Save in address book","Guardar en libreta de direcciones"
"Select Address","Seleccione una dirección"
"Select Addresses","Seleccione direcciones"
"Select Shipping Method","Seleccionar métodos de envío"
"Select State/Province...","Seleccionar la Provincia..."
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de cobro de su libreta de direcciones o ingrese una nueva dirección."
"Select a shipping address from your address book or enter a new address.","Selecciones una dirección de envío de su libreta de direcciones o ingrese una nueva"
"Send Payment Failed Email Copy Method","Método de Envío de Copia de Email de Pago Fallido"
"Send Payment Failed Email Copy To","Enviar Copia de Email de Pago Fallido A"
"Send to","Enviar a"
"Ship to Multiple Addresses","Enviar a múltiples direcciones"
"Ship to different address","Enviar a diferentes direcciones"
"Ship to this address","Enviar a esta dirección"
"Shipping Address","Información de Envío"
"Shipping Information","Información de Envío"
"Shipping Method","Método de envío"
"Shipping Methods","Métodos de envío"
"Shipping method has not been selected yet","El método de envío aún no ha sido seleccionado"
"Shipping selection is not applicable","El envío seleccionado no es aplicable"
"Shipping to","Enviando a"
"Shopping Cart","Mi carrito"
"Shopping Cart Sidebar","Barra lateral del Carrito de compra"
"Shopping Cart is Empty","El carrito de compras está vacío"
"Show Content as","Mostrar contenido como"
"Some of the products you requested are not available in the desired quantity","Algunos de los productos que ha solicitado no tienen la disponibilidad en número que ha solicitado"
"Some of the products you requested are unavailable","Alguno de los productos que solicitó no están disponibles"
"Sorry, Onepage Checkout is disabled.","Disculpe, el pago unapágina esta inhabilitado."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Disculpe, el pago de invitado no esta habilitado. Por favor, contacte al encargado de la tienda."
"Sorry, no quotes are available for this order at this time.","Ingresá un código postal para conocer las opciones de envío"
"State/Province","Provincia"
"Status","Estatus"
"Store View","Vista de tienda"
"Street Address","Domicilio"
"Street Address ","Calle "
"Submitting order information...","Enviando la información del pedido..."
"Subtotal","Subtotal"
"Telephone","Teléfono/Celular"
"Terms and Conditions","Condiciones y Términos"
"Terms and Conditions Information","Información de Condiciones y Términos"
"Terms and conditions","Condiciones y Términos"
"Text","Texto"
"Thank you for your purchase!","¡Gracias por tu compra!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Hay <a href=""%s""><strong>%s artículos </strong></a> en su carrito."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Hay <a href=""%s""><strong>1 artículo</strong></a> en su carrito."
"There is already a customer registered using this email address","Existe un cliente registrado usando esta dirección de correo electrónico"
"There was an error processing your order. Please contact us or try again later.","Hubo un error al procesar su pedido. Por favor contáctenos o intente mas tarde."
"This condition no longer exists","Estas condiciones ya no existen más"
"Total","Total"
"Total for this address","Total para esta direccíon"
"Unit Price","Precio un."
"Update Qty &amp; Addresses","Actualizar Cant. y Direcciones"
"Update Shopping Cart","Actualizar carrito"
"Update Total","Actualizar total"
"Use Billing Address","Usar dirección de cobro"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos procesando su pedido y en breve recibirá un Email con los detalles de su pedido. Una vez que su pedido fue enviada, usted recibirá otro correo electrónico con un link para seguir su proceso."
"You have no items in your shopping cart.","Usted no tiene artículos en su carrito de compra."
"You will receive an order confirmation email with details of your order and a link to track its progress.","En los próximos minutos, recibirás un email confirmando los detalles y un enlace para hacer el seguimiento de tu compra"
"Your Checkout Progress","Pasos de tu compra"
"Your order # is: %s.","El número de su pedido es: %s."
"Your order has been received.","Su pedido ha sido recibido"
"Your order number is ","El número de su pedido es "
"Zip/Postal Code","Código postal"
"State / Province","Provincia"
"Zip Code","Código postal"
"osCommerce Orders","Pedidos osCommerce"
"separate by "",""","separado por "","""
"My Cart","Mi Carrito"
"Checkout","PROCESO DE PAGO"
"Cart", "Mi compra"
"Click <a href=""%s"">here</a> to continue shopping.","Clic <a href=""%s"">aquí</a> para continuar comprando."
"Purchase resume","Resumen de compra"
"Latest products","Nuevos"
"Monday","Lunes"
"Tuesday","Martes"
"Wednesday","Miércoles"
"Thursday","Jueves"
"Friday","Viernes"
"Please specify shipping method.","Por favor especifique un método de envío."
"You may also like","Productos Relacionados"
"Name & Address", "Datos del comprador"
"Review Your Order", "Resumen de Compra"
"Place Order Now","Confirmar Compra"
"Cantidad","Cantidad"
"View Shopping Cart","Ver carrito de compras"
"Item was removed successfully.","producto eliminado correctamente"
"New Shipping Address","Nueva Dirección de envío"
"Your order cannot be completed at this time as there is no payment methods available for it.","No es posible completar su orden en este momento ya que no existen métodos de pagos disponibles."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Ya hay un cliente registrado con este email. Por favor, iniciá sesión usando este email o regístrate usando uno nuevo."
"* Required Fields","* Campos requeridos"
"Click <a href="%s">here</a> to continue shopping.","Por favor, intentá nuevamente más tarde. Si el problema persiste, contactate con nosotros <a href="%s">haciendo click aquí</a>"
"Items in your order", "Productos"
"Preis", "Precio"
"Items in your order", "Productos"
"Preis", "Precio"
"This is a required field.", "Campo requerido."
"Estimate", "Estimar"
"Register on Checkout","Registrate"
"""%s"" length must be equal or greater than %s characters.","""%s"" el largo debe ser igual o mayor a %s caracteres."
"""%s"" is a required value.","""%s"" es un campo requerido."
"The last name cannot be empty.","El apellido no puede estar vacío."
